avia,bio,vet,war,geo,design,journ,engin,it,art,hist,forest,lingo,math,med,int_com,music,teach,psy,com,agri,ss,theo,techn,technl,turism,physics,phys_cult,chem,econ,law,dormitory,region
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Минск
,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,Гомельская
,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,Минск
,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,Гродненская
,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,Гомельская
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Бресткая
,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Витебская
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,Гомельская
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Минск
,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Минск
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Минск
,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,Минск
,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,Минск
,,,,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,,,1,
,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Минск
,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,Минск
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,Минск
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,Минск
,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,Минск
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,Минск
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Минск
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Минск
,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,Минская
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,Могилевская
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,
,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,Могилёвская
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,Могилёвская